sector,leading_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,avg_momentum,avg_trend,fiedler_leading,leading_score_leading,recent_return_pct_leading,stability_leading,interaction_score,combined_score,rank,tier,position_size_pct
winklevoss_capital_portfolio,0.4026835156799482,-0.0676179516232303,3.415091794235508,6.0,0.0,0.8447369840026375,7.793814497236286,28.876152425451977,-0.0676179516232303,3.415091794235508,6.0,0.4026835156799482,7.793814497236286,0.8447369840026375,-0.40570770973938175,-0.03346703368087522,1,Tier 4 - Monitor,2.5
ai_&_big_data,0.479091472112421,-0.0985166162438021,19.506219961856484,6.999999999999998,0.0,1.0,4.1578232818232586,41.41969880488074,-0.0985166162438021,19.506219961856484,6.999999999999998,0.479091472112421,4.1578232818232586,1.0,-0.6896163137066146,0.09654558337476273,2,Tier 4 - Monitor,2.5
dcg_portfolio,0.3650985509982853,-0.1314037841840074,3.416253429937817,6.699999999999998,0.0,0.8447369840026375,-2.2173703652086734,28.5012459291802,-0.1314037841840074,3.416253429937817,6.699999999999998,0.3650985509982853,-2.2173703652086734,0.8447369840026375,-0.8804053540328493,-0.09724124988462922,3,Tier 4 - Monitor,2.5
near_protocol_ecosystem,0.3795619370208376,-0.1661952266365702,7.8849741698008415,5.999999999999998,0.0,0.922870354349517,-28.09049790974537,34.7080391469939,-0.1661952266365702,7.8849741698008415,5.999999999999998,0.3795619370208376,-28.09049790974537,0.922870354349517,-0.9971713598194208,-0.08734548493856177,4,Tier 4 - Monitor,2.5
hashkey_capital_portfolio,0.3380282805963541,-0.1743365200553183,4.198996181527039,6.0,0.0,0.7236750095616473,0.9633184065260704,30.546026865847352,-0.1743365200553183,4.198996181527039,6.0,0.3380282805963541,0.9633184065260704,0.7236750095616473,-1.0460191203319098,-0.1323465582400479,5,Tier 4 - Monitor,2.5
bnb_chain_ecosystem,0.4798831235762784,-0.1838449562783972,8.022507325170487,5.699999999999998,0.7,0.9360015797325428,-25.020702695706827,27.606809016296047,-0.1838449562783972,8.022507325170487,5.699999999999998,0.4798831235762784,-25.020702695706827,0.9360015797325428,-1.0479162507868638,-0.10361988302669232,6,Tier 4 - Monitor,2.5
boostvc_portfolio,0.3598823895199307,-0.1418350214815632,3.386517334797029,7.849999999999999,0.0,0.8447369840026375,-6.339862008368559,26.346792943158924,-0.1418350214815632,3.386517334797029,7.849999999999999,0.3598823895199307,-6.339862008368559,0.8447369840026375,-1.113404918630271,-0.10796984813359292,7,Tier 4 - Monitor,2.5
a16z_portfolio,0.3496159064608636,-0.1673485865252669,3.55084306951352,6.999999999999998,0.0,0.8447369840026369,-7.544954669672537,26.988383760198097,-0.1673485865252669,3.55084306951352,6.999999999999998,0.3496159064608636,-7.544954669672537,0.8447369840026369,-1.171440105676868,-0.1318401558301317,8,Tier 4 - Monitor,2.5
communications_&_social_media,0.5582464470777094,-0.1873251889647471,16.609604075166853,6.5,1.0,0.8524865670127599,-12.158355862723862,29.859386646700703,-0.1873251889647471,16.609604075166853,6.5,0.5582464470777094,-12.158355862723862,0.8524865670127599,-1.2176137282708561,-0.021229148213078558,9,Tier 4 - Monitor,2.5
iot,0.4007403926347609,-0.1988810814764268,12.925114767614971,6.85,0.0,1.0,-14.350432678421765,26.36571114128946,-0.1988810814764268,12.925114767614971,6.85,0.4007403926347609,-14.350432678421765,1.0,-1.3623354081135235,-0.0696299338002771,10,Tier 4 - Monitor,2.5
binance_launchpad,0.3683461544267511,-0.1949572696333577,9.646824499132618,7.000000000000002,0.0,0.8273204429788692,inf,23.575925050262335,-0.1949572696333577,9.646824499132618,7.000000000000002,0.3683461544267511,inf,0.8273204429788692,-1.3647008874335043,-0.0984890246420315,11,Tier 4 - Monitor,2.5
paradigm_portfolio,0.3393353896574914,-0.1958015064425111,3.551416828149178,6.999999999999998,0.0,0.8447369840026366,-41.01938583749349,29.736865227068016,-0.1958015064425111,3.551416828149178,6.999999999999998,0.3393353896574914,-41.01938583749349,0.8447369840026366,-1.3706105450975774,-0.1602873381610193,12,Tier 4 - Monitor,2.5
blockchain_capital_portfolio,0.33823318653532,-0.1996529527898295,3.5778307584375555,6.999999999999998,0.0,0.8447369840026372,-15.10298098988289,30.23183592481512,-0.1996529527898295,3.5778307584375555,6.999999999999998,0.33823318653532,-15.10298098988289,0.8447369840026372,-1.3975706695288062,-0.16387464520545394,13,Tier 4 - Monitor,2.5
layer_1,0.3457629923420464,-0.1768787891157626,3.5162709119498965,7.999999999999998,0.0,0.8447369840026363,-26.37711009629451,17.72645430870097,-0.1768787891157626,3.5162709119498965,7.999999999999998,0.3457629923420464,-26.37711009629451,0.8447369840026363,-1.4150303129261006,-0.14171607999626362,14,Tier 4 - Monitor,2.5
multicoin_capital_portfolio,0.3421897155879002,-0.186633178352809,3.505199242348847,7.699999999999998,0.0,0.8447369840026369,-22.100704657098525,23.347800107856347,-0.186633178352809,3.505199242348847,7.699999999999998,0.3421897155879002,-22.100704657098525,0.8447369840026369,-1.4370754733166289,-0.15158118592932052,15,Tier 4 - Monitor,2.5
arrington_xrp_capital_portfolio,0.4199005555674216,-0.1816803000634396,16.946997159644994,8.0,0.0,0.932201907950684,-22.37043311532284,31.178338271313457,-0.1816803000634396,16.946997159644994,8.0,0.4199005555674216,-22.37043311532284,0.932201907950684,-1.4534424005075168,-0.012210328466989662,16,Tier 4 - Monitor,2.5
ftx_bankruptcy_estate,0.344211565683051,-0.1817228039067168,3.561564325890155,7.999999999999998,0.0,0.8447369840026372,-33.191305073169694,20.25181183290153,-0.1817228039067168,3.561564325890155,7.999999999999998,0.344211565683051,-33.191305073169694,0.8447369840026372,-1.4537824312537342,-0.14610716064781526,17,Tier 4 - Monitor,2.5
polychain_capital_portfolio,0.3378787465799656,-0.2004073425697304,3.5544555509711158,7.999999999999998,0.0,0.8447369840026372,-15.481233204025663,21.166092110301413,-0.2004073425697304,3.5544555509711158,7.999999999999998,0.3378787465799656,-15.481233204025663,0.8447369840026372,-1.6032587405578427,-0.16486278706001922,18,Tier 4 - Monitor,2.5
framework_ventures_portfolio,0.3422573969951196,-0.1860062165827583,3.6971221771295033,8.999999999999998,0.0,0.8336304425446539,-32.187327578909134,29.39351881981822,-0.1860062165827583,3.6971221771295033,8.999999999999998,0.3422573969951196,-32.187327578909134,0.8336304425446539,-1.6740559492448244,-0.14903499481146326,19,Tier 4 - Monitor,2.5
alleged_sec_securities,0.4477331756414783,-0.1747586863980574,6.648580777633377,9.599999999999998,0.55,0.8748472467877578,-12.35260276113393,24.558141336899155,-0.1747586863980574,6.648580777633377,9.599999999999998,0.4477331756414783,-12.35260276113393,0.8748472467877578,-1.6776833894213505,-0.10827287862172362,20,Tier 4 - Monitor,2.5
